GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
0000PAARSESTR-NAT00Z03NSG;Paarse strandloper langs de kust
SP016VOERZWAR-NAT00Z054UC;Vogels voeren zwarte mezen
622A_5_BLAURE-NAT00Z00WDM;Blauwe reiger en koeien
461A_1_BOERZW-NAT00Z013IG;Jonge boerenzwaluwen
690A_4_AALSCH-NAT00Z01N7S;Aalscholver droogt vleugels
051310_1_GRZI-NAT00Z02H1Q;Grote zilverreiger in vlucht en jagend in sloot
970201_1_DWST-NAT00Z02H87;Dwergstern op het nest
0001KLMANTELM-NAT00Z03NWI;Vliegende kleine mantelmeeuw en zittend op strand
0001KEEP00000-NAT00Z03NWE;Mannetje en vrouwtje keep in de bomen
0002MEERKOET0-NAT00Z03NZQ;Jonge meerkoeten
0002KLZWAAN00-NAT00Z03NZH;Kleine zwanen bij zonsopkomst
0001ZWKOPMEEU-NAT00Z03NYP;Adulte zwartkopmeeuw
030804_2_TAPU-NAT00Z02H1B;Tapuit in het duin
070304_1_ZWSP-NAT00Z02H2U;Zwarte specht, twee juvenielen aan boomstam
0004BONTBEKPL-NAT00Z03O68;Bontbekplevier op nest op parkeerplaats
6028_1_TONGPL-NAT00Z04XSM;De Tongplaat in ochtendlicht
607A_3_TURKSE-NAT00Z00W7Z;Turkse tortel
567A_1_SCHOLE-NAT00Z013IN;Scholekster op akker
658A_4_GOUDVI-NAT00Z01N7U;Goudvink in struik
0001ROODHFUUT-NAT00Z03NXI;Roodhalsfuut in winterkleed
0000ROSSEGRUT-NAT00Z03NT5;Adult zomer rosse grutto's
0000WILDEEEND-NAT00Z03NUE;Mannetje en voruwtje wilde eend
0223_1_SNEEUW-NAT00Z00TVS;Vogels in een sneeuwbui
685A_1_TUINVO-NAT00Z01NMB;Roodborst, merel en koolmees
EP06173_2_EID-NAT00Z01NG3;Broedende eidereend
980302_1_HODU-NAT00Z02H8Q;Holenduif op grasland
0000GRBARMSIJ-NAT00Z03NPS;Grote barmsijs in bomen
0000GRBURGEME-NAT00Z03NPU;Grote burgemeester tweede winter
0000ZWZEEEEND-NAT00Z03NV6;Zwarte zee-eend mannetje
EF08040_2_UIL-NAT00Z01NUD;Koolmees en steenuil bij nestkasten in boerenschuur
980601_3_BOZW-NAT00Z02H8Y;Boerenzwaluw op draad
910207_1_WULP-NAT00Z02H7M;Wulp lopend op akkerland
3010_3_KLEIPU-NAT00Z02H6B;Eenden en andere watervogels op een plas in de regen
0004BUIZERD00-NAT00Z03O1A;Buizerd op nest
0000CANADGANS-NAT00Z03NOS;Canadese gans op nest
0000HOP000000-NAT00Z03NQC;Foeragerende hop
0000OEVERPIEP-NAT00Z03NSC;Foeragerende en drinkende oeverpieper
0000NOOKWIKST-NAT00Z03NS8;Noordse kwikstaart
0000STRANDLEE-NAT00Z03NTP;Foeragerende strandleeuwerikken
0530_9_WULPWE-NAT00Z00TRP;Wulp
341A_5_GRUTTO-NAT00Z012WV;Grutto op paal en groot kuiken in gras
675A_1_KEEPDE-NAT00Z01NHM;Keep in grove den
000103_1_ZOMT-NAT00Z02GZ9;Zwemmende zomertaling
0002PIMPELMEE-NAT00Z03NZU;Pimpelmees op voer
023VOGELOPVAN-NAT00Z05004;Vogelopvang
070503_1_AME1-NAT00Z02H2V;Onderlopen broedkolonie Ameland voor de springvloed, deel 1
051301_1_WIKW-NAT00Z02H1P;Witte kwikstaart op een hek
0000KLZWAAN00-NAT00Z03NR9;Kleine zwaan in de sneeuw
0000TEMSTRLOP-NAT00Z03NTT;Foeragerende temminck strandlopers
0000RIETGORS0-NAT00Z03NSS;Zingend mannetje rietgors in verschillende vegetatie
VONDELNEILALL-NAT00Z04Y2T;Nijlganzen in het Vondelpark in het voorjaar
0333_2_SCHOLE-NAT00Z00TSX;Roepende scholekster in weiland
620A_1_BUIZER-NAT00Z01M1C;Buizerd op dode tak in heideveld
0001BUIZERD00-NAT00Z03NVK;Buizerd zittend
0000ZWROTGANS-NAT00Z03NV5;Foeragerende zwarte rotgans
STEENUILMUIS_-NAT00Z056BV;Steenuil met prooi
0532_3_TURELU-NAT00Z00TSP;Tureluur fouragerend langs waterkant
298A_1_ZEEVOG-NAT00Z00VSE;Jan-van-Gent boven de Noordzee
031102_1_SMEL-NAT00Z02H1D;Smelleken op een tak
0000ZEEAREND0-NAT00Z03NUP;Zeearend paar op het vogeleiland
350A_5_TORENV-NAT00Z012Z7;Torenvalk
000103_2_TAFE-NAT00Z02GZA;Tafeleend, man en vrouw
0000GOUDPLEVI-NAT00Z03NPI;Goudplevier in winterkleed
010301_1_BAME-NAT00Z02H00;Baardmees in het riet
0002EIDEREEND-NAT00Z03NYZ;Eider op nest
0006KIEVIT000-NAT00Z03O27;Halfwas jonge kievit in moeras
EP06167_7_BON-NAT00Z01NFD;Bonte vliegenvanger inspecteert nestkast
900511_1_GOPL-NAT00Z02H75;Goudplevier in weiland
000018_1_RANS-NAT00Z02GZ0;Ransuil in dierenasiel
0000KWAK00000-NAT00Z03NRS;Volwassen kwak
0001ZWARTOOIE-NAT00Z03NYN;Geringde zwarte ooievaar in sloot
0001VISAREND0-NAT00Z03NYB;Jagende visarend met vis als prooi
564A_2_REIGER-NAT00Z013MK;Blauwe reiger landt in weiland met paardenbloemen
EF08045_2_STE-NAT00Z01NAS;Vliegende grote sterns boven broedkolonie
1010B_3_LANDS-NAT00Z02AQG;Het landschap van de Blauwe Kamer aan de voet van de Grebbeberg
040202_1_MEKO-NAT00Z02H1I;Meerkoet op nest en met jongen
0001DWERGSTER-NAT00Z03NVO;Donsjong van dwergstern
0000BOOMKLEVE-NAT00Z03NOE;Boomklever roepend
0003GRMANTELM-NAT00Z03O0I;Volwassen grote mantelmeeuw op ijs
0003SCHOLEKST-NAT00Z03O13;Scholekster in winterkleed op Noordzeestrand
0000ZILVERMEE-NAT00Z03NUR;Zilvermeeuwenjong met excursie met kind
563A_2_RIETVO-NAT00Z013OP;Rietgors zingend in struik
3001C_2_HOOGW-NAT00Z02H5Q;Ganzen grazen op een stuk grasland tijdens een hoogwater langs de Maas
0000KAUW00000-NAT00Z03NQO;Kauw in de duinen voor konijnenhol
0001GRBARMSIJ-NAT00Z03NVZ;Foeragerende grote barmsijs
0000NOTENKRAK-NAT00Z03NSA;Foeragerende notenkraker
030804_1_STLO-NAT00Z02H1A;Steenloper op bazaltstenen dijk en slikken
910407_1_ZWSP-NAT00Z02H7S;Zwarte specht bij nestholte
0000REGENWULP-NAT00Z03NSQ;Regenwulp op het wad
0002ZILVERMEE-NAT00Z03O0A;Diverse kleden zilvermeeuw op strand
0000WITBUIKRG-NAT00Z03NUI;Foeragerende witbuikrotgans
027VOGELOPVAN-NAT00Z05008;Vogelopvang
OEVERZWALUW__-NAT00Z056HX;Oeverzwaluwen langs de oever van de Maas
0538_3_SMIENT-NAT00Z00TT9;Smienten in berijpt weiland
980601_2_BOZW-NAT00Z02H8X;Boerenzwaluw op hek
0001BRKIEKEND-NAT00Z03NVJ;Bruine kiekendief met prooi
0002ROTGANS00-NAT00Z03O00;Rotganzen in de sneeuw
980702_1_EKST-NAT00Z02H93;Ekster jaagt op vliegen
000223_1_BOZW-NAT00Z02GZT;Boerenzwaluw op brug
950138_1_HUZW-NAT00Z02H81;Huiszwaluw aan de nestbouw
000211_3_TURE-NAT00Z02GZO;Tureluur op een hek
0000PARELDUIK-NAT00Z03NSH;Parelduiker in haven en op zee
0001TAPUIT000-NAT00Z03NXR;Tapuit met jongen bij konijnenhol
0001ROERDOMP0-NAT00Z03NXF;Roerdomp sluipend langs rietkraag
0000WATERRAL0-NAT00Z03NU9;Foeragerende waterral op het ijs
ATELES141LIM2-NAT00Z04I56;Graften en holle wegen in Limburg met vliegende buizerd
BOOMKRUIPERBI-NAT00Z056G6;Boomkruiper voedt zijn jongen
637A_3_REIGER-NAT00Z01M2T;Blauwe reiger
EF08042_1_IJS-NAT00Z01NU5;IJsvogel op tak bij webcam
020507_1_GRLI-NAT00Z02HJH;Groenling zingend in een boom
0004HUISMUS00-NAT00Z03O1H;Albino huismus
0000SNEEUWGOR-NAT00Z03NTE;Foeragerende sneeuwgors
0000ZOMERTORT-NAT00Z03NUU;Zingende zomertortel
0000TURELUUR0-NAT00Z03NTZ;Grote groep tureluurs
115A_4_KWIKST-NAT00Z00TSB;Witte kwikstaart op dak woonhuis
220A_1_ZWERME-NAT00Z00UHX;Vliegende ganzen en een zwerm spreeuwen
336A_4_UILSKU-NAT00Z012X9;Velduil en kuikens
1013_2_HOOGWA-NAT00Z02AQL;Verschillende dieren vluchten voor het hoogwater in de Millingerwaard
0000WESPENDIE-NAT00Z03NUC;Jonge wespendieven op nest en in boom en vliegend
ROODBORSTAPUI-NAT00Z056IF;Roodborsttapuit zoekt voedsel
353A_5_VISDIE-NAT00Z012WQ;Visdief wast wis
364A_3_LEEUWR-NAT00Z01365;Veldleeuwerik
564A_1_REEGEI-NAT00Z013KR;Reeën en blauwe reiger
737A_2_KRAMSV-NAT00Z01NBY;Kramsvogels in weiland
0001HAVIK0000-NAT00Z03NW6;Havik in bosje
0000INDISGANS-NAT00Z03NQL;Indische gans
0001ROSSEGRUT-NAT00Z03NXJ;Winterkleed rosse grutto's
WINTERTALINGF-NAT00Z056IY;Wintertalingen foerageren
592A_1_TAPUIT-NAT00Z013NX;Tapuit bij een konijnenhol
0002KOOLMEES0-NAT00Z03NZK;Vechtende koolmezen
0001PAAPJE000-NAT00Z03NX6;Volwassen paapje in struiken
0001KOOLMEES0-NAT00Z03NWQ;Koolmees op vogelfeeders
0000SPOTVOGEL-NAT00Z03NTH;Zingende spotvogel
0002TURELUUR0-NAT00Z03O06;Tureluur op weidepaal
ZWAANVECHWIEN-NAT00Z04Y63;Zwanengevecht in het water
615A_2_WATHOE-NAT00Z00W8Z;Waterhoen in poeltje
EP06133_2_ZEE-NAT00Z013HQ;Zeearendjong staat op het punt van uitvliegen
496A_2_BUIZRD-NAT00Z013M0;Twee buizerds in een weiland
070803_1_GRVL-NAT00Z02H35;Grauwe vliegenvanger met jong
020409_1_GOVI-NAT00Z02H0K;Goudvink in boom
3011_2_REIGER-NAT00Z02H6D;Jonge blauwe reigers op de oever van een plas
3009_4_KLEIPU-NAT00Z02H67;Verschillende planten groeien langs de oever van kleiputten in de Romeinenweerd
0000BOOMLEEUW-NAT00Z03NOG;Boomleeuwerik
0001GRMANTELM-NAT00Z03NW2;Grote mantelmeeuw op strand
0007LEPELAAR0-NAT00Z03O2C;Grote groep lepelaars op trektocht
0000KUIFDUIKE-NAT00Z03NRP;Zwemmende en poetsende kuifduiker in zomerkleed
BUITENGEWO_36-NAT00Z0578H;Ooievaars
631A_2_WAHOEN-NAT00Z01LZR;Waterhoentjes
000302_2_EIDE-NAT00Z02GZX;Mannetjes en vrouwtjes eidereend
110102_1_GRZI-NAT00Z02H4U;Grote zilverreiger jaagt op muizen
0000GRAFRANJE-NAT00Z03NPK;Zomerkleed grauwe franjepoot
ZANGVRINGEN03-NAT00Z0508W;Steltlopers ringen
SP030BUFFKOE3-NAT00Z0576Z;Jagende bruine kiekendief Klimaatbuffer Koedood slow motion
567A_2_KIEVIE-NAT00Z013M9;Kievit met kuiken in landbouwgebied
EF09137_2_DWE-NAT00Z01NIU;Dwerggans, brandganzen en kruisingen
5703_2_VOGELS-NAT00Z03K2R;Een gele kwikstaart roept in een jonge wilgenboom
0000RIETZANGE-NAT00Z03NST;Zingende rietzanger
0366_1_BONTBE-NAT00Z00TUU;Bontbekplevieren
88A_3_SCHOLEK-NAT00Z00TJO;Nestkom in een duin met eieren van een scholekster
622A_4_BUIZER-NAT00Z00W7I;Bruine kiekendief en havik
